RESTAURANT_NAME;ADDRESS;WEBSITE;RESTAURANT_KIND;NUMBER_OF_APPROACHED_PEOPLE;PRICE_RANGE;CATEGORY;FOOD_ITEM;FOOD_COST
Pizza Mập - Pizza Online;50/514 Thụy Khuê, Quận Tây Hồ, Hà Nội;https://www.now.vn/ha-noi/pizza-map-pizza-online;SHOP ONLINE;100.0;70000 - 130000;PIZZA|MỲ SPAGHETTI|NƯỚC UỐNG;Pizza Bò Hầm Đặc Biệt|Pizza Hải Sản|Combo 1.|Pizza Thịt Xông Khói|Combo 3|Pizza Tôm Và Xúc Xích|Pizza Chay|Pizza Kiểu Ý|Pizza Gà Chua Ngọt|Pizza Mập|Pizza cá ngừ thanh cua|Pizza đùi gà sốt BBQ|Combo 2|Pizza Cá Hồi|Pizza pate|Mỳ Ý Thịt Xông Khói Sốt Kem;97750|102000|170000|102000|136000|97750|59500|102000|85000|93500|102000|97750|153000|110500|97750|59500|
Chè Ngon Hà Nội & Món Ngon Đường Phố - Tô Hiệu;297 Tô Hiệu, Quận Cầu Giấy, Hà Nội;https://www.now.vn/ha-noi/che-ngon-ha-noi;ĂN VẶT/VỈA HÈ;500.0;15000 - 20000;CHÈ NGON BỐN MÙA|SỮA CHUA|HOA QUẢ|NƯỚC ÉP HOA QUẢ|SINH TỐ|TRÀ SỮA - TRÀ HOA QUẢ|ĂN VẶT;Chè Thập Cẩm|Chè Khúc Bạch Trà Xanh, Nhãn|Chè Bưởi|Chè Thái Sầu Riêng|Chè Caramen Thập Cẩm|Chè Thái Thập Cẩm|Chè Dừa Non|Chè Thái Sương Sa Hạt Lựu|Chè Thái Bưởi|Chè Khoai Dẻo|Chè Khúc Bạch Caramen|Chè Trôi Nước|Chè Sữa Dừa|Chè Thái Caramen|Chè Đậu Đen Truyền Thống|Chè Đậu Đỏ Trân Châu|Chè Đậu Xanh Trân Châu;20900|23750|20900|26600|23750|23750|23750|20900|20900|20900|30400|20900|20900|26600|20900|20900|20900|
Cơm Tấm Sài Gòn Út Thắng - Tô Hiệu;105 B8 Tô Hiệu, P. Nghĩa Tân, Quận Cầu Giấy, Hà Nội;https://www.now.vn/ha-noi/com-tam-ut-thang;QUÁN ĂN -Chi nhánh;999.0;30000 - 70000;MÓN CHÍNH|MÓN CANH|MÓN THÊM|ĐỒ UỐNG;Cơm Sườn Cốt Lết|Cơm Đùi Gà Nướng Tỏi|Cơm Sườn Non Nướng Mật Ong|Cơm Sườn Non Nướng Tỏi|Cơm Cá Kho Tộ|Cơm Tấm Bì Chả Trứng Ốp La|Cơm Sườn Non Nướng Muối Ớt|Cơm Mắm Chưng|Canh Ngêu Chua Tàu Hũ Non|Canh Cải Chua Gân Bò|Canh Cải Thịt Bằm|Canh Khổ Qua Dồn Thịt|Ốp La|Chả Thêm|Cơm Thêm;36000|40500|58500|49500|40500|31500|49500|40500|13500|9000|9000|9000|9000|9000|4500|
Trà Sữa Kai Tea - Thanh Niên;9 Thanh Niên, Quận Tây Hồ, Hà Nội;https://www.now.vn/ha-noi/tra-sua-kai-tea-thanh-nien;CAFÉ/DESSERT -Chi nhánh;500.0;20000 - 60000;FRESH MILK TEA|TROPICAL FRUIT TEA|CHEESE TEA|BREWED TEA|CLASSIC MILK TEA|YAKULT|JUICE|SPECIAL HOT TEA;Matcha Nhật Bản Sữa Tươi|Sữa tươi trân châu đường nâu|Trà Sencha Nhật Bản Sữa Tươi|Sữa Tươi Xoài Lắc|Sữa tươi dâu tây|Lục Trà Phúc Bồn Tử|Trà Xanh Chanh Đào|Trà Bưởi Bá Vương|Trà Mai Ngũ Lăng|Matcha Cheese Cake|Socola Cheese Cake|Trà Xoài Kem Cheese|Trà Ô Long Alisan Kem Cheese|Lục Trà Nhài Kem Cheese|Trà dâu kem cheese;27300|30800|27300|27300|25200|27300|27300|27300|27300|30800|30800|30800|27300|27300|27300|
An Huy - Cơm Tấm & Bánh Canh Sài Gòn;114 Chiến Thắng, Quận Hà Đông, Hà Nội;https://www.now.vn/ha-noi/an-huy-com-tam-banh-canh-sai-gon;QUÁN ĂN;100.0;35000 - 50000;MENU|ĐỒ THÊM;Cơm Sườn|Cơm Sườn Bì Chả Trứng Đặc Biệt|Cơm Sườn Trứng Ốp La|Cơm Sườn Chả Trứng|Cơm Sườn Non|Cơm Thịt Kho Trứng|Cơm Cá Kho Tộ|Cơm Gà|Cơm Tôm Rim|Chả Bì Hà Nội|Đậu Sốt|Sườn Non|Chả Trứng|Thịt Kho Trứng|Cá Kho|Bì Chạo;40500|56700|46150|46150|46150|40500|40500|40500|46150|121500|11350|22700|11350|22700|22700|11350|
Chày Quán - Bún Đậu Mắm Tôm;123 Linh Đường, Quận Hoàng Mai, Hà Nội;https://www.now.vn/ha-noi/chay-quan-bun-dau-met-bun-cha;QUÁN ĂN;999.0;25000 - 70000;BÚN ĐẬU|THỰC ĐƠN;Bún Đậu Đầy Đủ|Bún Đậu Dồi Sụn|Bún đậu chả cốm|Bún Đậu Thường|Dồi Sụn|Đậu Chiên Giòn;32550|28150|28150|17600|61600|26400|
Đông Hiền - Bánh Cuốn, Bún Chả & Gà Tần - Trần Phú;47 Ngõ 55 Trần Phú (Cổng Đại học SP Nghệ thuật Trung Ương), Quận Hà Đông, Hà Nội;https://www.now.vn/ha-noi/dong-hien-banh-cuon-nong-bun-cha-ga-tan;QUÁN ĂN -Chi nhánh;100.0;10000 - 50000;MENU;Bánh Cuốn thit Nướng|Bún Chả|Gà Tần|Bánh Cuốn Chả Quế|Bánh Cuốn Trứng (chin hoac tai) cha quê|Banh cuon chay cha Que hoac ( thit nuong);28400|31950|53250|24850|17750|24850|
Fruit Garden - Sinh Tố, Nước Ép & Drink Healthy;29 Quang Trung, Quận Hà Đông, Hà Nội;https://www.now.vn/ha-noi/fruit-garden-sinh-to-nuoc-ep-an-vat;CAFÉ/DESSERT;50.0;20000 - 50000;NƯỚC ÉP|NƯỚC ÉP MIX|ĐỒ UỐNG TỐT CHO SỨC KHỎE|ĐỒ UỐNG GIẢM CÂN|SINH TỐ|RAU CỦ QUẢ ÉP|DETOX TĂNG CÂN|DETOX GIẢM CÂN|DETOX ĐẸP DA, CHỐNG LÃO HÓA|DETOX ĐẸP DA VÀ GIỮ DÁNG|SỮA CHUA;Nước Ép Dứa|Nước Cam Tươi|Nước Ép Cóc|Nước Ép Mận( tuỳ mùa)|Nước Ép Bưởi|Nước Ép Dưa Hấu|Nước ép lựu( tuỳ mùa)|Nước Chanh Leo|Nước Ép Roi( tuỳ mùa)|Nước Táo Ép|Nước Ép Ổi|Nước Nho ép|Nước Ép Đào( tuỳ mùa)|Nước Ép Cà Rốt|Dâu tây Ép|Mix Cóc Ổi;28350|36450|28350|32400|32400|32400|32400|28350|32400|32400|32400|36450|32400|24300|36450|20250|
Gyocha - Trà Sữa Nhật Bản;18 Ngõ 80 Hoàng Đạo Thành, Quận Thanh Xuân, Hà Nội;https://www.now.vn/ha-noi/gyocha-tra-sua-nhat-ban;CAFÉ/DESSERT;10.0;20000 - 50000;TRÀ SỮA NHẬT BẢN|TRÀ TRÁI CÂY|TRÀ NGUYÊN VỊ|TRÀ ĐÁ XAY|ĐỒ ĂN KÈM|COMBO SIÊU ƯU ĐÃI;Sữa Tươi Trân Châu Đường Đen|Trà Sữa Gyocha|Trà Sữa Gyocha Milk Foam|Gyocha Cốt Dừa Con Cá|Trà Đào Gyocha|Trà Thạch Đào|Trà Đào Milk Foam|Trà Đào Cam Sả|Trà Đào Milkfoam con cá|Trà Chanh Con Cá|Trà Chanh Sả|Hồng Trà Osaka|Hồng Trà Osaka Milk Foam|Sinh Tố Đá Xay Vị Việt Quất không kem (M);32250|20250|22500|29250|22500|23250|26250|31500|33750|26250|22500|20250|22500|26050|
Hương Béo - Bánh Cuốn Lạng Sơn - Nguyễn Trãi;Ki Ốt 41/129 Nguyễn Trãi, Quận Thanh Xuân, Hà Nội;https://www.now.vn/ha-noi/huong-beo-banh-cuon-lang-son;ĂN VẶT/VỈA HÈ;500.0;15000 - 30000;ĐỒ UỐNG|MENU;Coca|Bánh Cuốn Lạng Sơn|Bánh Cuốn Nhân Thịt|Bánh Cuốn Nhân Thịt Mộc Nhĩ|Giò Con|Bánh Trứng Chín|Bánh Trứng Đánh Bột.|Bánh Trứng Tái;11550|34650|23100|23100|7700|19250|19250|19250|
