Quận|Huyện|Thị xã;Diện tích;Dân số
Ba Đình;9.25;242.8
Hoàn Kiếm;5.29;155.9
Tây Hồ;24.01;152.8
Long Biên;59.93;270.3
Cầu Giấy;12.03;251.8
Đống Đa;9.96;401.7
Hai Bà Trưng;10.09;315.9
Hoàng Mai;40.32;364.9
Thanh Xuân;9.08;266.0
Sóc Sơn;306.51;316.6
Đông Anh;182.14;374.9
Gia Lâm;114.73;253.8
Bắc Từ Liêm;43.35;320.4
Nam Từ Liêm;32.27;232.9
Thanh Trì;62.93;221.8
Mê Linh;142.51;210.6
Hà Đông;48.34;284.5
Sơn Tây;113.53;136.6
Ba Vì;424.03;267.3
Phúc Thọ;117.19;172.5
Đan Phượng;77.35;154.3
Hoài Đức;82.47;212.1
Quốc Oai;147.91;174.2
Thạch Thất;184.59;194.1
Chương Mỹ;232.41;309.6
Thanh Oai;123.85;185.4
Thường Tín;127.39;236.3
Phú Xuyên;171.10;187.0
Ứng Hòa;183.75;191.7
Mỹ Đức;226.20;183.5
